staff_id,date,department,shift,absent
S001,2025-01-01,Surgery,Day,False
S002,2025-01-01,ICU,Day,False
S003,2025-01-01,ER,Night,False
S004,2025-01-01,ICU,Night,False
S005,2025-01-01,ER,Day,False
S006,2025-01-01,Ward,Night,False
S007,2025-01-01,Surgery,Day,False
S008,2025-01-01,ER,Day,False
S009,2025-01-01,ER,Day,False
S010,2025-01-01,ICU,Day,False
S011,2025-01-01,ER,Night,False
S012,2025-01-01,Surgery,Night,False
S013,2025-01-01,ER,Day,False
S014,2025-01-01,ER,Day,False
S015,2025-01-01,Surgery,Day,True
S016,2025-01-01,ER,Day,False
S017,2025-01-01,ICU,Day,False
S018,2025-01-01,Ward,Day,False
S019,2025-01-01,Surgery,Day,False
S020,2025-01-01,ER,Night,False
S021,2025-01-01,ICU,Night,False
S022,2025-01-01,Surgery,Night,False
S023,2025-01-01,Ward,Day,False
S024,2025-01-01,ICU,Night,False
S025,2025-01-01,Ward,Night,False
S026,2025-01-01,ICU,Night,False
S027,2025-01-01,ER,Day,False
S028,2025-01-01,ICU,Night,False
S029,2025-01-01,Ward,Day,False
S030,2025-01-01,ICU,Day,False
S031,2025-01-01,ICU,Day,False
S032,2025-01-01,Ward,Night,False
S033,2025-01-01,Surgery,Night,False
S034,2025-01-01,Ward,Night,False
S035,2025-01-01,ICU,Day,False
S036,2025-01-01,Surgery,Day,False
S037,2025-01-01,Ward,Day,False
S038,2025-01-01,Ward,Night,False
S039,2025-01-01,Ward,Night,False
S040,2025-01-01,ICU,Day,False
S041,2025-01-01,Ward,Day,False
S042,2025-01-01,ICU,Day,True
S043,2025-01-01,ER,Night,False
S044,2025-01-01,Surgery,Day,False
S045,2025-01-01,Surgery,Day,False
S046,2025-01-01,ICU,Day,False
S047,2025-01-01,ER,Day,False
S048,2025-01-01,Surgery,Day,False
S049,2025-01-01,Surgery,Night,False
S050,2025-01-01,Surgery,Day,False
S051,2025-01-01,Ward,Night,True
S052,2025-01-01,ER,Night,False
S053,2025-01-01,ER,Night,False
S054,2025-01-01,ER,Day,False
S055,2025-01-01,Surgery,Day,False
S056,2025-01-01,Surgery,Day,False
S057,2025-01-01,ER,Night,False
S058,2025-01-01,Surgery,Night,False
S059,2025-01-01,Ward,Night,True
S060,2025-01-01,ER,Day,False
S001,2025-01-02,ER,Day,False
S002,2025-01-02,Ward,Day,False
S003,2025-01-02,ER,Day,False
S004,2025-01-02,ER,Day,False
S005,2025-01-02,Surgery,Day,False
S006,2025-01-02,Surgery,Night,False
S007,2025-01-02,Surgery,Day,True
S008,2025-01-02,Surgery,Day,False
S009,2025-01-02,ER,Night,False
S010,2025-01-02,Surgery,Day,False
S011,2025-01-02,Surgery,Day,False
S012,2025-01-02,Surgery,Day,False
S013,2025-01-02,Ward,Night,False
S014,2025-01-02,ICU,Day,False
S015,2025-01-02,Ward,Day,False
S016,2025-01-02,Surgery,Night,False
S017,2025-01-02,Surgery,Night,False
S018,2025-01-02,ICU,Night,False
S019,2025-01-02,ICU,Night,False
S020,2025-01-02,Ward,Day,False
S021,2025-01-02,ER,Night,False
S022,2025-01-02,ICU,Night,False
S023,2025-01-02,ICU,Day,False
S024,2025-01-02,Surgery,Night,False
S025,2025-01-02,ER,Day,False
S026,2025-01-02,Ward,Night,False
S027,2025-01-02,ER,Day,False
S028,2025-01-02,ICU,Day,False
S029,2025-01-02,ICU,Day,False
S030,2025-01-02,ER,Day,False
S031,2025-01-02,ER,Day,True
S032,2025-01-02,Surgery,Night,False
S033,2025-01-02,Surgery,Day,False
S034,2025-01-02,Ward,Day,False
S035,2025-01-02,Surgery,Day,False
S036,2025-01-02,ICU,Day,False
S037,2025-01-02,Ward,Day,False
S038,2025-01-02,Ward,Night,False
S039,2025-01-02,ICU,Night,False
S040,2025-01-02,ER,Night,False
S041,2025-01-02,Ward,Day,False
S042,2025-01-02,ER,Day,False
S043,2025-01-02,ICU,Day,False
S044,2025-01-02,ICU,Day,False
S045,2025-01-02,Surgery,Day,False
S046,2025-01-02,Surgery,Night,False
S047,2025-01-02,ER,Day,False
S048,2025-01-02,ICU,Night,False
S049,2025-01-02,ER,Night,False
S050,2025-01-02,Surgery,Night,False
S051,2025-01-02,Ward,Night,False
S052,2025-01-02,Ward,Day,False
S053,2025-01-02,ER,Day,False
S054,2025-01-02,Surgery,Day,False
S055,2025-01-02,Ward,Night,False
S056,2025-01-02,ER,Day,False
S057,2025-01-02,ER,Day,False
S058,2025-01-02,ICU,Night,False
S059,2025-01-02,ICU,Day,True
S060,2025-01-02,Surgery,Day,False
S001,2025-01-03,ER,Day,False
S002,2025-01-03,Surgery,Night,False
S003,2025-01-03,ICU,Night,True
S004,2025-01-03,Surgery,Night,False
S005,2025-01-03,ER,Day,False
S006,2025-01-03,ER,Day,False
S007,2025-01-03,Ward,Night,False
S008,2025-01-03,Surgery,Night,False
S009,2025-01-03,ICU,Day,False
S010,2025-01-03,ICU,Day,False
S011,2025-01-03,Surgery,Night,True
S012,2025-01-03,ER,Night,False
S013,2025-01-03,ER,Night,False
S014,2025-01-03,Surgery,Night,False
S015,2025-01-03,ICU,Day,False
S016,2025-01-03,Ward,Night,False
S017,2025-01-03,ICU,Night,True
S018,2025-01-03,Surgery,Day,False
S019,2025-01-03,ER,Day,False
S020,2025-01-03,Surgery,Night,False
S021,2025-01-03,Surgery,Night,False
S022,2025-01-03,Surgery,Day,False
S023,2025-01-03,Surgery,Day,False
S024,2025-01-03,Surgery,Night,False
S025,2025-01-03,ICU,Night,True
S026,2025-01-03,ER,Day,False
S027,2025-01-03,ER,Night,False
S028,2025-01-03,ER,Day,False
S029,2025-01-03,ICU,Night,False
S030,2025-01-03,Surgery,Day,False
S031,2025-01-03,Ward,Night,False
S032,2025-01-03,ER,Day,False
S033,2025-01-03,ICU,Day,False
S034,2025-01-03,Surgery,Day,False
S035,2025-01-03,ICU,Night,False
S036,2025-01-03,ER,Night,False
S037,2025-01-03,ER,Day,False
S038,2025-01-03,ER,Night,False
S039,2025-01-03,ER,Night,False
S040,2025-01-03,ICU,Day,False
S041,2025-01-03,Ward,Night,False
S042,2025-01-03,ER,Day,False
S043,2025-01-03,ER,Day,False
S044,2025-01-03,ER,Day,False
S045,2025-01-03,Surgery,Night,False
S046,2025-01-03,ER,Night,False
S047,2025-01-03,ER,Night,False
S048,2025-01-03,Surgery,Night,False
S049,2025-01-03,Ward,Night,False
S050,2025-01-03,ER,Night,False
S051,2025-01-03,ER,Night,False
S052,2025-01-03,ER,Day,False
S053,2025-01-03,Ward,Night,False
S054,2025-01-03,Surgery,Day,False
S055,2025-01-03,Ward,Day,False
S056,2025-01-03,ICU,Night,False
S057,2025-01-03,Ward,Night,False
S058,2025-01-03,ER,Night,False
S059,2025-01-03,Ward,Day,False
S060,2025-01-03,Ward,Day,False
S001,2025-01-04,ICU,Night,False
S002,2025-01-04,ER,Night,False
S003,2025-01-04,Ward,Night,False
S004,2025-01-04,Surgery,Night,False
S005,2025-01-04,Ward,Day,False
S006,2025-01-04,Ward,Day,False
S007,2025-01-04,Surgery,Night,False
S008,2025-01-04,ICU,Night,False
S009,2025-01-04,Surgery,Day,False
S010,2025-01-04,ER,Day,False
S011,2025-01-04,ICU,Night,False
S012,2025-01-04,Surgery,Day,True
S013,2025-01-04,ER,Night,False
S014,2025-01-04,Ward,Night,False
S015,2025-01-04,ER,Night,False
S016,2025-01-04,ICU,Day,False
S017,2025-01-04,ICU,Day,False
S018,2025-01-04,ICU,Night,False
S019,2025-01-04,Ward,Night,False
S020,2025-01-04,Ward,Night,False
S021,2025-01-04,Surgery,Day,False
